Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C8",0603,6,0u1,
"C10, C11, C6, C7",0603,4,1u,
D1,D_SOD-123F,1,CDBMS160,
D2,0603,1,LED,
J1,Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical,1,Conn_01x02_Pin,
J2,CONN_B4B-ZR-SM4-TF_JST,1,Conn_01x04_Pin,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R12, R13, R16, R3, R7",0603,6,10k,
"R10, R11",0603,2,2k2,
"R15, R20",0603,2,5.1k,
R2,0603,1,220,
R4,0603,1,4.7,
"R5, R6, R8, R9",0603,4,0,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_SPST,
U1,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,1,ATECC608A-MAHDA,
U2,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,
U3,SGP30-2.5K_SEN-M,1,SGP40,
U4,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U5,SOT-23-5,1,AP2112K-3.3,
